Name,2040
Alabama,"5,128,561"
Alaska,"866,600"
Arizona,"9,103,179"
Arkansas,"3,213,755"
California,"48,286,484"
Colorado,"7,828,749"
Connecticut,"3,585,765"
Delaware,"1,181,045"
DC,"1,107,014"
Florida,"28,235,139"
Georgia,"12,808,892"
Hawaii,"1,779,125"
Idaho,"2,087,293"
Illinois,"12,697,149"
Indiana,"7,129,926"
Iowa,"3,435,150"
Kansas,"3,129,638"
Kentucky,"4,739,798"
Louisiana,"5,251,460"
Maine,"1,302,889"
Maryland,"7,068,866"
Massachusetts,"7,901,128"
Michigan,"9,873,234"
Minnesota,"6,306,239"
Mississippi,"3,040,865"
Missouri,"6,398,634"
Montana,"1,236,013"
Nebraska,"2,210,599"
Nevada,"3,892,449"
New Hampshire,"1,366,803"
New Jersey,"9,556,978"
New Mexico,"2,160,402"
New York,"21,380,610"
North Carolina,"12,524,753"
North Dakota,"1,044,934"
Ohio,"11,704,452"
Oklahoma,"4,651,753"
Oregon,"4,990,011"
Pennsylvania,"12,976,425"
Rhode Island,"1,049,098"
South Carolina,"6,253,488"
South Dakota,"1,076,362"
Tennessee,"7,758,137"
Texas,"40,698,640"
Utah,"4,279,204"
Vermont,"612,877"
Virginia,"10,201,530"
Washington,"9,478,722"
West Virginia,"1,760,989"
Wisconsin,"6,042,354"
Wyoming,"688,396"
